C0 (2554 genes)	C1 (1326 genes)	C2 (1037 genes)	C3 (1804 genes)	C4 (1000 genes)	C5 (1621 genes)
AT1G43860	AT2G01350	AT2G29550	AT1G54560	AT2G23780	AT1G68390
AT1G43900	AT2G01580	AT2G29680	AT1G54740	AT2G23810	AT1G68410
AT1G44608	AT2G01670	AT2G29930	AT1G54790	AT2G23840	AT1G68620
AT1G44835	AT2G02050	AT2G30170	AT1G54920	AT2G23985	AT1G68690
AT1G45110	AT2G02061	AT2G30790	AT1G55000	AT2G23987	AT1G68840
AT1G45201	AT2G02120	AT2G30980	AT1G55010	AT2G24535	AT1G69030
AT1G45231	AT2G02560	AT2G31160	AT1G55160	AT2G25600	AT1G69050
AT1G47278	AT2G02850	AT2G31650	AT1G55260	AT2G26350	AT1G69370
AT1G47480	AT2G03220	AT2G32170	AT1G55510	AT2G26370	AT1G69600
AT1G47490	AT2G03260	AT2G32450	AT1G55675	AT2G26570	AT1G69610
AT1G47500	AT2G03380	AT2G32520	AT1G55810	AT2G26800	AT1G69760
AT1G47720	AT2G03780	AT2G32640	AT1G56090	AT2G27035	AT1G69800
AT1G47870	AT2G03880	AT2G32780	AT1G56200	AT2G27120	AT1G69840
AT1G47890	AT2G04515	AT2G32810	AT1G56210	AT2G27380	AT1G69890
AT1G48030	AT2G04630	AT2G33050	AT1G56220	AT2G27740	AT1G69935
AT1G48140	AT2G04845	AT2G33470	AT1G56280	AT2G27930	AT1G70000
AT1G48200	AT2G04860	AT2G33620	AT1G56460	AT2G28760	AT1G70130
AT1G48390	AT2G05160	AT2G33735	AT1G56610	AT2G28870	AT1G70610
AT1G48460	AT2G05440	AT2G33800	AT1G56700	AT2G29130	AT1G70640
AT1G48570	AT2G05510	AT2G33820	AT1G56720	AT2G29360	AT1G70700
AT1G48630	AT2G05710	AT2G33860	AT1G57870	AT2G29485	AT1G70740
AT1G48635	AT2G06925	AT2G34230	AT1G57980	AT2G29620	AT1G70790
AT1G48850	AT2G07340	AT2G34620	AT1G58007	AT2G29735	AT1G70800
AT1G48860	AT2G07625	AT2G35260	AT1G58030	AT2G30360	AT1G71000
AT1G48900	AT2G07656	AT2G35450	AT1G58235	AT2G30440	AT1G71050
AT1G48920	AT2G07690	AT2G35490	AT1G58936	AT2G30660	AT1G71080
AT1G49310	AT2G07835	AT2G35620	AT1G59610	AT2G30670	AT1G71170
AT1G49320	AT2G11910	AT2G35780	AT1G59750	AT2G30760	AT1G71360
AT1G49400	AT2G13440	AT2G35810	AT1G59830	AT2G30900	AT1G71697
AT1G49410	AT2G13560	AT2G36570	AT1G59900	AT2G31350	AT1G71950
AT1G49540	AT2G13600	AT2G37080	AT1G60010	AT2G31985	AT1G72120
AT1G49760	AT2G13690	AT2G37450	AT1G60050	AT2G32150	AT1G72450
AT1G49820	AT2G13900	AT2G37560	AT1G60270	AT2G32320	AT1G72470
AT1G49880	AT2G14920	AT2G37960	AT1G60430	AT2G32370	AT1G72520
AT1G49970	AT2G15000	AT2G38040	AT1G60790	AT2G32690	AT1G72660
AT1G50050	AT2G15290	AT2G38710	AT1G60989	AT2G32750	AT1G72800
AT1G50110	AT2G15790	AT2G38780	AT1G61130	AT2G32885	AT1G72920
AT1G50180	AT2G15860	AT2G39360	AT1G61160	AT2G33160	AT1G72930
AT1G50370	AT2G16190	AT2G39780	AT1G61180	AT2G33385	AT1G72940
AT1G50400	AT2G16440	AT2G39930	AT1G61255	AT2G33390	AT1G73080
AT1G50840	AT2G16730	AT2G40070	AT1G61260	AT2G33790	AT1G73480
AT1G50910	AT2G16750	AT2G40085	AT1G61740	AT2G33830	AT1G73500
AT1G50920	AT2G17060	AT2G40160	AT1G61970	AT2G33980	AT1G73805
AT1G51310	AT2G17140	AT2G40316	AT1G62040	AT2G34530	AT1G73880
AT1G51380	AT2G17360	AT2G40480	AT1G62050	AT2G34540	AT1G74140
AT1G51510	AT2G17830	AT2G40970	AT1G62360	AT2G34700	AT1G74310
AT1G51680	AT2G18150	AT2G41082	AT1G62430	AT2G34910	AT1G74330
AT1G51710	AT2G18290	AT2G41450	AT1G62440	AT2G35075	AT1G74430
AT1G51790	AT2G18420	AT2G41560	AT1G62610	AT2G35600	AT1G74440
AT1G51800	AT2G18740	AT2G41620	AT1G62620	AT2G35690	AT1G74530
AT1G51840	AT2G18850	AT2G42210	AT1G63000	AT2G36320	AT1G74860
AT1G51850	AT2G18990	AT2G42260	AT1G63080	AT2G36500	AT1G74930
AT1G51860	AT2G19150	AT2G42320	AT1G63110	AT2G36780	AT1G75000
AT1G51890	AT2G19480	AT2G42610	AT1G63300	AT2G36830	AT1G75020
AT1G51980	AT2G19520	AT2G43150	AT1G63570	AT2G36895	AT1G75180
AT1G52160	AT2G19680	AT2G43350	AT1G63800	AT2G36920	AT1G75400
AT1G52310	AT2G19720	AT2G43410	AT1G64180	AT2G37150	AT1G75620
AT1G52340	AT2G19860	AT2G43535	AT1G64230	AT2G37180	AT1G75860
AT1G52430	AT2G20060	AT2G43690	AT1G64440	AT2G37870	AT1G75890
AT1G52500	AT2G20270	AT2G43750	AT1G64640	AT2G37880	AT1G76040
AT1G52600	AT2G20290	AT2G43800	AT1G64710	AT2G37920	AT1G76060
AT1G52730	AT2G20330	AT2G44210	AT1G64720	AT2G37925	AT1G76065
AT1G52760	AT2G20390	AT2G44580	AT1G65090	AT2G38500	AT1G76070
AT1G52780	AT2G20420	AT2G44910	AT1G65180	AT2G38640	AT1G76130
AT1G52905	AT2G20530	AT2G45160	AT1G65190	AT2G39100	AT1G76360
AT1G52930	AT2G20620	AT2G45540	AT1G65310	AT2G39805	AT1G76390
AT1G52980	AT2G20875	AT2G45810	AT1G65350	AT2G40470	AT1G76580
AT1G53200	AT2G21290	AT2G45830	AT1G65670	AT2G40475	AT1G76600
AT1G53330	AT2G21340	AT2G46180	AT1G65920	AT2G40715	AT1G76640
AT1G53345	AT2G21370	AT2G46560	AT1G66020	AT2G40740	AT1G76650
AT1G53460	AT2G21710	AT2G47320	AT1G66170	AT2G40810	AT1G76680
AT1G53530	AT2G21790	AT2G47390	AT1G66370	AT2G40850	AT1G76700
AT1G53600	AT2G22070	AT2G47500	AT1G66460	AT2G41200	AT1G76970
AT1G53645	AT2G22230	AT2G47690	AT1G66730	AT2G41260	AT1G77060
AT1G53750	AT2G22400	AT2G47860	AT1G66870	AT2G41280	AT1G77220
AT1G54270	AT2G22425	AT2G47930	AT1G66940	AT2G41300	AT1G77250
AT1G54380	AT2G22600	AT3G01120	AT1G67080	AT2G41610	AT1G77360
AT1G54770	AT2G23350	AT3G01180	AT1G67280	AT2G42330	AT1G77370
AT1G54820	AT2G23370	AT3G01340	AT1G67580	AT2G42780	AT1G77420
AT1G54990	AT2G23910	AT3G01345	AT1G67790	AT2G42900	AT1G77450
AT1G55040	AT2G23930	AT3G01780	AT1G67950	AT2G43255	AT1G77855
AT1G55150	AT2G23940	AT3G01910	AT1G68010	AT2G44430	AT1G77885
AT1G55205	AT2G24090	AT3G01930	AT1G68020	AT2G45320	AT1G77890
AT1G55350	AT2G24390	AT3G02180	AT1G68240	AT2G45400	AT1G78210
AT1G55370	AT2G24970	AT3G02410	AT1G68300	AT2G45740	AT1G78230
AT1G55610	AT2G25320	AT3G02540	AT1G68430	AT2G45960	AT1G78280
AT1G55630	AT2G25420	AT3G02730	AT1G68440	AT2G46260	AT1G78310
AT1G55750	AT2G25710	AT3G03040	AT1G68526	AT2G46270	AT1G78410
AT1G55890	AT2G25910	AT3G03070	AT1G68530	AT2G46735	AT1G78600
AT1G55900	AT2G26110	AT3G03100	AT1G68540	AT2G46940	AT1G78830
AT1G55915	AT2G26260	AT3G03130	AT1G68640	AT2G47270	AT1G78940
AT1G56070	AT2G26450	AT3G03250	AT1G68740	AT2G47360	AT1G79310
AT1G56080	AT2G26680	AT3G03710	AT1G68810	AT2G47485	AT1G79510
AT1G56110	AT2G26930	AT3G04370	AT1G68870	AT2G47570	AT1G79600
AT1G56330	AT2G27020	AT3G04490	AT1G68935	AT2G47600	AT1G79710
AT1G56340	AT2G27240	AT3G04610	AT1G69080	AT2G48075	AT1G79920
AT1G56350	AT2G27470	AT3G04850	AT1G69170	AT3G01140	AT1G80110
AT1G57660	AT2G27630	AT3G05340	AT1G69230	AT3G01310	AT1G80120
AT1G57730	AT2G27650	AT3G05410	AT1G69360	AT3G01350	AT1G80610
AT1G57770	AT2G27720	AT3G06060	AT1G69510	AT3G01400	AT1G80840
AT1G57860	AT2G27730	AT3G06130	AT1G69588	AT3G01440	AT2G01150
AT1G58380	AT2G27810	AT3G06430	AT1G69970	AT3G01670	AT2G01290
AT1G58684	AT2G28070	AT3G06670	AT1G70100	AT3G01680	AT2G01300
AT1G59510	AT2G28120	AT3G06740	AT1G70370	AT3G01860	AT2G01430
AT1G59560	AT2G28190	AT3G07180	AT1G70660	AT3G01900	AT2G01450
AT1G59890	AT2G28430	AT3G07500	AT1G70850	AT3G01950	AT2G02860
AT1G59990	AT2G28680	AT3G07510	AT1G70890	AT3G01960	AT2G02870
AT1G60080	AT2G29210	AT3G07540	AT1G70900	AT3G02170	AT2G03040
AT1G60500	AT2G29300	AT3G07690	AT1G70940	AT3G02270	AT2G03130
AT1G60620	AT2G29320	AT3G07950	AT1G71340	AT3G02310	AT2G03240
AT1G60640	AT2G29530	AT3G08570	AT1G71720	AT3G02670	AT2G03290
AT1G60650	AT2G29960	AT3G08610	AT1G71790	AT3G02677	AT2G03530
AT1G60770	AT2G30105	AT3G08790	AT1G71960	AT3G03150	AT2G03690
AT1G60800	AT2G30200	AT3G09035	AT1G71970	AT3G03340	AT2G05260
AT1G60850	AT2G30370	AT3G09080	AT1G72150	AT3G03341	AT2G05370
AT1G60890	AT2G30695	AT3G09190	AT1G72160	AT3G03690	AT2G05940
AT1G61570	AT2G30860	AT3G09860	AT1G72180	AT3G03760	AT2G06050
AT1G61580	AT2G31100	AT3G09980	AT1G72200	AT3G04010	AT2G06530
AT1G61730	AT2G31270	AT3G10180	AT1G72610	AT3G04210	AT2G07749
AT1G61770	AT2G31300	AT3G10850	AT1G72645	AT3G04330	AT2G12190
AT1G61870	AT2G31490	AT3G10860	AT1G72700	AT3G04410	AT2G13650
AT1G61990	AT2G31660	AT3G10880	AT1G72840	AT3G05010	AT2G13790
AT1G62010	AT2G31725	AT3G11050	AT1G72850	AT3G05540	AT2G13800
AT1G62110	AT2G31890	AT3G11180	AT1G72890	AT3G05660	AT2G13960
AT1G62150	AT2G31970	AT3G11520	AT1G73066	AT3G05700	AT2G14110
AT1G62350	AT2G32230	AT3G11540	AT1G73170	AT3G05880	AT2G14290
AT1G62380	AT2G32275	AT3G12080	AT1G73300	AT3G05890	AT2G15310
AT1G62720	AT2G32280	AT3G12170	AT1G73380	AT3G05950	AT2G15390
AT1G62790	AT2G32530	AT3G12260	AT1G73470	AT3G06270	AT2G15480
AT1G62800	AT2G32550	AT3G12750	AT1G73590	AT3G06780	AT2G15730
AT1G63050	AT2G32650	AT3G12780	AT1G73640	AT3G06985	AT2G16870
AT1G63160	AT2G32680	AT3G12870	AT1G73655	AT3G07220	AT2G17220
AT1G63250	AT2G32730	AT3G13120	AT1G73660	AT3G07255	AT2G17260
AT1G63290	AT2G33040	AT3G13222	AT1G73885	AT3G07350	AT2G17290
AT1G63480	AT2G33205	AT3G13404	AT1G74110	AT3G07560	AT2G17450
AT1G63660	AT2G33210	AT3G13440	AT1G74370	AT3G07570	AT2G17660
AT1G63780	AT2G33230	AT3G13510	AT1G74500	AT3G07740	AT2G17705
AT1G63810	AT2G33250	AT3G14110	AT1G74520	AT3G08040	AT2G17840
AT1G64100	AT2G33255	AT3G14172	AT1G74670	AT3G08660	AT2G17900
AT1G64220	AT2G33330	AT3G14415	AT1G74770	AT3G08750	AT2G18090
AT1G64350	AT2G33760	AT3G14740	AT1G74910	AT3G08770	AT2G18210
AT1G64490	AT2G33850	AT3G15020	AT1G74920	AT3G09640	AT2G18500
AT1G64540	AT2G34220	AT3G16020	AT1G75080	AT3G09922	AT2G18680
AT1G64580	AT2G34238	AT3G16060	AT1G75090	AT3G10020	AT2G18690
AT1G64600	AT2G34310	AT3G16140	AT1G75100	AT3G10210	AT2G19310
AT1G65030	AT2G34325	AT3G16520	AT1G75310	AT3G10250	AT2G19710
AT1G65080	AT2G34480	AT3G16540	AT1G75630	AT3G10420	AT2G19780
AT1G65410	AT2G34640	AT3G17210	AT1G75680	AT3G10450	AT2G20010
AT1G65481	AT2G34960	AT3G17840	AT1G75710	AT3G10525	AT2G20110
AT1G65500	AT2G34990	AT3G17900	AT1G75780	AT3G10720	AT2G20130
AT1G65650	AT2G35160	AT3G17940	AT1G75800	AT3G11000	AT2G20142
AT1G65700	AT2G35500	AT3G18000	AT1G76020	AT3G11230	AT2G20560
AT1G65820	AT2G35635	AT3G18035	AT1G76460	AT3G11470	AT2G20562
AT1G66060	AT2G35740	AT3G18090	AT1G76620	AT3G11530	AT2G20630
AT1G66070	AT2G36230	AT3G18215	AT1G76800	AT3G11660	AT2G20810
AT1G66250	AT2G36530	AT3G18490	AT1G77080	AT3G12140	AT2G20815
AT1G66520	AT2G37340	AT3G18880	AT1G77110	AT3G12300	AT2G20835
AT1G66530	AT2G37370	AT3G19300	AT1G77180	AT3G12350	AT2G20900
AT1G66670	AT2G37390	AT3G19400	AT1G78100	AT3G12360	AT2G21120
AT1G66700	AT2G37500	AT3G19515	AT1G78130	AT3G12710	AT2G21130
AT1G66750	AT2G37510	AT3G19820	AT1G78170	AT3G12835	AT2G21190
AT1G66800	AT2G37530	AT3G20230	AT1G78290	AT3G12955	AT2G21490
AT1G66820	AT2G37820	AT3G21350	AT1G78480	AT3G13224	AT2G21500
AT1G66830	AT2G37860	AT3G21760	AT1G78700	AT3G13480	AT2G21510
AT1G66920	AT2G38380	AT3G22425	AT1G78720	AT3G13590	AT2G21940
AT1G67110	AT2G38550	AT3G22810	AT1G78815	AT3G14170	AT2G22010
AT1G67170	AT2G38650	AT3G22960	AT1G78820	AT3G14250	AT2G22300
AT1G67430	AT2G38670	AT3G23070	AT1G78970	AT3G14530	AT2G22500
AT1G67490	AT2G39140	AT3G23110	AT1G79130	AT3G14560	AT2G22560
AT1G67620	AT2G39415	AT3G23290	AT1G79340	AT3G14595	AT2G22690
AT1G67680	AT2G39450	AT3G23690	AT1G79380	AT3G14850	AT2G22740
AT1G67760	AT2G39460	AT3G23740	AT1G79660	AT3G15095	AT2G22760
AT1G68150	AT2G39670	AT3G23890	AT1G79700	AT3G15450	AT2G22790
AT1G68185	AT2G39870	AT3G23900	AT1G79760	AT3G15540	AT2G22800
AT1G68460	AT2G39920	AT3G23910	AT1G79790	AT3G15580	AT2G22850
AT1G68550	AT2G39975	AT3G24010	AT1G79970	AT3G16120	AT2G22860
AT1G68730	AT2G40010	AT3G24255	AT1G80210	AT3G16300	AT2G22880
AT1G68990	AT2G40205	AT3G24503	AT1G80315	AT3G16525	AT2G22890
AT1G69070	AT2G40510	AT3G24660	AT1G80350	AT3G16785	AT2G22910
AT1G69200	AT2G40550	AT3G25100	AT1G80380	AT3G17227	AT2G23110
AT1G69210	AT2G40765	AT3G25530	AT1G80420	AT3G17320	AT2G23120
AT1G69250	AT2G41080	AT3G25680	AT1G80440	AT3G17720	AT2G23680
AT1G69350	AT2G41220	AT3G25700	AT1G80570	AT3G17980	AT2G24100
AT1G69380	AT2G41840	AT3G26050	AT1G80690	AT3G18260	AT2G24130
AT1G69410	AT2G42120	AT3G26210	AT1G80740	AT3G18350	AT2G24330
AT1G69480	AT2G42290	AT3G26480	AT1G80780	AT3G18773	AT2G24530
AT1G69530	AT2G42570	AT3G26935	AT1G80920	AT3G19320	AT2G24600
AT1G69560	AT2G42910	AT3G27060	AT2G01080	AT3G19550	AT2G24640
AT1G69620	AT2G42955	AT3G27190	AT2G01090	AT3G19620	AT2G24850
AT1G69660	AT2G43460	AT3G27300	AT2G01100	AT3G19663	AT2G24860
AT1G69680	AT2G43465	AT3G27325	AT2G01130	AT3G19990	AT2G25297
AT1G69880	AT2G43600	AT3G27640	AT2G01270	AT3G20190	AT2G25460
AT1G70190	AT2G43730	AT3G27750	AT2G01755	AT3G20340	AT2G25470
AT1G70310	AT2G44065	AT3G27830	AT2G01910	AT3G20450	AT2G25690
AT1G70350	AT2G44220	AT3G27850	AT2G02130	AT3G20570	AT2G25735
AT1G70460	AT2G44380	AT3G28130	AT2G02400	AT3G20865	AT2G25737
AT1G70600	AT2G44620	AT3G29185	AT2G02470	AT3G21090	AT2G26000
AT1G70770	AT2G44640	AT3G30730	AT2G02570	AT3G21370	AT2G26150
AT1G71040	AT2G44650	AT3G32980	AT2G02710	AT3G21380	AT2G26190
AT1G71060	AT2G44660	AT3G42150	AT2G02760	AT3G21720	AT2G26380
AT1G71210	AT2G44890	AT3G42725	AT2G02780	AT3G22250	AT2G26390
AT1G71280	AT2G45280	AT3G43220	AT2G03090	AT3G22415	AT2G26400
AT1G71820	AT2G45340	AT3G43610	AT2G03200	AT3G23123	AT2G26410
AT1G71840	AT2G45460	AT3G44050	AT2G03710	AT3G23180	AT2G26420
AT1G71850	AT2G45640	AT3G44430	AT2G03850	AT3G23220	AT2G26530
AT1G72050	AT2G46040	AT3G44716	AT2G04240	AT3G23460	AT2G26600
AT1G72320	AT2G46110	AT3G44890	AT2G04410	AT3G23480	AT2G27200
AT1G72340	AT2G46505	AT3G44900	AT2G04500	AT3G23860	AT2G27260
AT1G72370	AT2G46540	AT3G44990	AT2G04540	AT3G24065	AT2G27310
AT1G72440	AT2G46690	AT3G45080	AT2G04570	AT3G24110	AT2G27389
AT1G72540	AT2G46840	AT3G45310	AT2G04680	AT3G25490	AT2G27480
AT1G72545	AT2G46870	AT3G45600	AT2G04690	AT3G25585	AT2G27500
AT1G72560	AT2G46980	AT3G45840	AT2G04780	AT3G25840	AT2G27505
AT1G72750	AT2G47010	AT3G45850	AT2G04790	AT3G26000	AT2G27580
AT1G73110	AT2G47170	AT3G45930	AT2G04800	AT3G26180	AT2G27690
AT1G73177	AT2G47380	AT3G45980	AT2G04940	AT3G26280	AT2G28210
AT1G73180	AT2G47530	AT3G46030	AT2G05210	AT3G26520	AT2G28400
AT1G73240	AT2G47580	AT3G46320	AT2G05520	AT3G26630	AT2G28650
AT1G73280	AT2G47590	AT3G46550	AT2G06850	AT3G27185	AT2G29065
AT1G73340	AT2G47640	AT3G46580	AT2G10930	AT3G27460	AT2G29410
AT1G73450	AT2G47880	AT3G46880	AT2G13547	AT3G28007	AT2G29420
AT1G73770	AT2G47980	AT3G46890	AT2G14095	AT3G28335	AT2G29440
AT1G73840	AT2G48030	AT3G47350	AT2G14160	AT3G28380	AT2G29450
AT1G73875	AT2G48120	AT3G47836	AT2G14170	AT3G28430	AT2G29460
AT1G74030	AT3G01130	AT3G48030	AT2G14900	AT3G29030	AT2G29500
AT1G74050	AT3G01280	AT3G48110	AT2G14910	AT3G29638	AT2G29720
AT1G74060	AT3G01311	AT3G48160	AT2G15050	AT3G30380	AT2G30020
AT1G74230	AT3G01570	AT3G48490	AT2G15880	AT3G43840	AT2G30120
AT1G74240	AT3G01740	AT3G48540	AT2G15890	AT3G44220	AT2G30250
AT1G74260	AT3G01790	AT3G48600	AT2G16990	AT3G44970	AT2G30400
AT1G74600	AT3G02090	AT3G48670	AT2G17020	AT3G45130	AT2G30550
AT1G74630	AT3G02200	AT3G48770	AT2G17036	AT3G45390	AT2G30720
AT1G74700	AT3G02330	AT3G48900	AT2G17440	AT3G45500	AT2G30830
AT1G74790	AT3G02500	AT3G48920	AT2G17550	AT3G45830	AT2G30990
AT1G75200	AT3G02630	AT3G49155	AT2G17600	AT3G45870	AT2G31090
AT1G75335	AT3G02885	AT3G49290	AT2G17710	AT3G46400	AT2G31230
AT1G75340	AT3G02900	AT3G49500	AT2G17787	AT3G46710	AT2G31425
AT1G75510	AT3G02970	AT3G50570	AT2G17880	AT3G47170	AT2G31580
AT1G75560	AT3G02980	AT3G51280	AT2G17930	AT3G47295	AT2G31865
AT1G75580	AT3G03480	AT3G51310	AT2G18050	AT3G47340	AT2G31880
AT1G75670	AT3G03620	AT3G51480	AT2G18100	AT3G47675	AT2G31945
AT1G75980	AT3G03630	AT3G51670	AT2G18230	AT3G47680	AT2G31990
AT1G76120	AT3G03650	AT3G51950	AT2G18280	AT3G47740	AT2G32030
AT1G76140	AT3G04020	AT3G52050	AT2G18300	AT3G48020	AT2G32120
AT1G76280	AT3G04400	AT3G52115	AT2G18800	AT3G48050	AT2G32130
AT1G76300	AT3G04510	AT3G52200	AT2G18890	AT3G48880	AT2G32140
AT1G76405	AT3G04550	AT3G52270	AT2G18969	AT3G48940	AT2G32190
AT1G76410	AT3G04760	AT3G52300	AT2G19660	AT3G48960	AT2G32210
AT1G76520	AT3G04830	AT3G52630	AT2G19790	AT3G49520	AT2G32240
AT1G76550	AT3G05070	AT3G52750	AT2G19810	AT3G49550	AT2G32250
AT1G76810	AT3G05590	AT3G52910	AT2G19930	AT3G49760	AT2G32510
AT1G76960	AT3G05680	AT3G52920	AT2G19950	AT3G50170	AT2G32930
AT1G77030	AT3G06450	AT3G53190	AT2G20120	AT3G50980	AT2G33110
AT1G77340	AT3G06460	AT3G53210	AT2G20210	AT3G51040	AT2G33380
AT1G77380	AT3G06510	AT3G53680	AT2G20230	AT3G51490	AT2G33580
AT1G77540	AT3G06545	AT3G53850	AT2G20550	AT3G51600	AT2G33590
AT1G77550	AT3G06700	AT3G54080	AT2G20670	AT3G53010	AT2G33700
AT1G77610	AT3G06720	AT3G54440	AT2G20700	AT3G53400	AT2G34070
AT1G77670	AT3G07030	AT3G54630	AT2G20740	AT3G53600	AT2G34140
AT1G77810	AT3G07070	AT3G54710	AT2G20920	AT3G53980	AT2G34340
AT1G77840	AT3G07170	AT3G54790	AT2G20950	AT3G54200	AT2G34380
AT1G77940	AT3G07260	AT3G54920	AT2G21050	AT3G54290	AT2G34600
AT1G78000	AT3G07440	AT3G55230	AT2G21185	AT3G54450	AT2G34930
AT1G78190	AT3G07480	AT3G55520	AT2G21200	AT3G54730	AT2G35290
AT1G78530	AT3G07610	AT3G56100	AT2G21240	AT3G54840	AT2G35510
AT1G78620	AT3G07920	AT3G56160	AT2G21400	AT3G55566	AT2G35658
AT1G78930	AT3G08000	AT3G56370	AT2G21560	AT3G55710	AT2G35700
AT1G79050	AT3G08520	AT3G56580	AT2G21950	AT3G56380	AT2G35710
AT1G79070	AT3G08740	AT3G56590	AT2G21970	AT3G56630	AT2G35850
AT1G79080	AT3G08820	AT3G56891	AT2G22570	AT3G56730	AT2G35930
AT1G79150	AT3G08860	AT3G57030	AT2G22810	AT3G58120	AT2G36220
AT1G79190	AT3G09070	AT3G57060	AT2G22980	AT3G58720	AT2G36630
AT1G79200	AT3G09160	AT3G57080	AT2G22990	AT3G60220	AT2G36640
AT1G79320	AT3G09500	AT3G57860	AT2G23070	AT3G60990	AT2G36650
AT1G79450	AT3G09660	AT3G58050	AT2G23180	AT3G61160	AT2G37110
AT1G79470	AT3G09730	AT3G58100	AT2G23550	AT3G61400	AT2G37210
AT1G79490	AT3G09820	AT3G58460	AT2G24280	AT3G61790	AT2G37440
AT1G79540	AT3G10270	AT3G58650	AT2G24300	AT3G62090	AT2G37940
AT1G79570	AT3G10690	AT3G59110	AT2G24540	AT3G62380	AT2G38230
AT1G79610	AT3G10920	AT3G59190	AT2G24550	AT3G62560	AT2G38240
AT1G79730	AT3G11070	AT3G59410	AT2G24681	AT3G62650	AT2G38250
AT1G79800	AT3G11120	AT3G59430	AT2G24720	AT3G62690	AT2G38360
AT1G79810	AT3G11250	AT3G59550	AT2G24940	AT3G63220	AT2G38465
AT1G80040	AT3G11460	AT3G59920	AT2G25070	AT3G63350	AT2G38470
AT1G80150	AT3G11630	AT3G59980	AT2G25080	AT4G00155	AT2G38740
AT1G80270	AT3G11830	AT3G60320	AT2G25090	AT4G00840	AT2G38760
AT1G80460	AT3G11940	AT3G61050	AT2G25220	AT4G01430	AT2G39110
AT1G80480	AT3G11945	AT3G61130	AT2G25310	AT4G01450	AT2G39420
AT1G80560	AT3G12280	AT3G61310	AT2G25590	AT4G01950	AT2G39650
AT1G80600	AT3G12380	AT3G61690	AT2G25605	AT4G02160	AT2G39770
AT1G80620	AT3G12390	AT3G61898	AT2G25730	AT4G02740	AT2G39830
AT1G80710	AT3G12530	AT3G62130	AT2G25964	AT4G03175	AT2G40000
AT1G80720	AT3G12900	AT3G62300	AT2G26030	AT4G03495	AT2G40090
AT1G80750	AT3G13130	AT3G62390	AT2G26210	AT4G04025	AT2G40095
AT1G80890	AT3G13180	AT3G62970	AT2G26250	AT4G04860	AT2G40116
AT1G80910	AT3G13420	AT3G63120	AT2G26330	AT4G05220	AT2G40140
AT1G80950	AT3G13560	AT3G63170	AT2G26340	AT4G05430	AT2G40270
AT2G01250	AT3G13857	AT3G63410	AT2G26430	AT4G08330	AT2G40620
AT2G01390	AT3G13920	AT3G63430	AT2G26510	AT4G08400	AT2G40830
AT2G01510	AT3G13930	AT4G00020	AT2G26670	AT4G08760	AT2G41100
AT2G01630	AT3G13980	AT4G00380	AT2G26695	AT4G09100	AT2G41110
AT2G01640	AT3G14120	AT4G00695	AT2G26710	AT4G09990	AT2G41160
AT2G01730	AT3G14140	AT4G00710	AT2G26910	AT4G10843	AT2G41420
AT2G01740	AT3G14240	AT4G00830	AT2G27000	AT4G11300	AT2G41480
AT2G01750	AT3G14390	AT4G00880	AT2G27030	AT4G11360	AT2G41640
AT2G02060	AT3G14420	AT4G00990	AT2G27385	AT4G11960	AT2G41835
AT2G02150	AT3G14450	AT4G01100	AT2G27420	AT4G12040	AT2G41880
AT2G02590	AT3G14600	AT4G01230	AT2G27920	AT4G12210	AT2G41890
AT2G02740	AT3G14790	AT4G01270	AT2G27950	AT4G12570	AT2G42010
AT2G02880	AT3G15130	AT4G01380	AT2G28100	AT4G12580	AT2G42080
AT2G02955	AT3G15150	AT4G01435	AT2G28260	AT4G12680	AT2G42440
AT2G03070	AT3G15380	AT4G01690	AT2G28370	AT4G12710	AT2G42760
AT2G03110	AT3G15530	AT4G02010	AT2G28410	AT4G12940	AT2G43020
AT2G03120	AT3G15640	AT4G02020	AT2G28420	AT4G13810	AT2G43260
AT2G03360	AT3G15660	AT4G02060	AT2G28470	AT4G14020	AT2G43320
AT2G03410	AT3G16000	AT4G02070	AT2G28490	AT4G14305	AT2G43580
AT2G03510	AT3G16260	AT4G02110	AT2G28800	AT4G15460	AT2G43590
AT2G03640	AT3G16290	AT4G02610	AT2G28910	AT4G15470	AT2G44070
AT2G03670	AT3G16310	AT4G02630	AT2G29020	AT4G15620	AT2G44200
AT2G03810	AT3G16610	AT4G02680	AT2G29050	AT4G16070	AT2G44280
AT2G03820	AT3G17160	AT4G02900	AT2G29400	AT4G16220	AT2G44578
AT2G04050	AT3G17300	AT4G03100	AT2G29630	AT4G16566	AT2G44745
AT2G04160	AT3G17830	AT4G03415	AT2G29700	AT4G16580	AT2G44840
AT2G04390	AT3G18390	AT4G04770	AT2G29980	AT4G16745	AT2G44970
AT2G04520	AT3G18410	AT4G04850	AT2G30070	AT4G16810	AT2G45500
AT2G04530	AT3G18510	AT4G04880	AT2G30080	AT4G16900	AT2G45760
AT2G04660	AT3G18524	AT4G05170	AT2G30410	AT4G17160	AT2G46070
AT2G04740	AT3G18970	AT4G05180	AT2G30600	AT4G17170	AT2G46080
AT2G05120	AT3G19170	AT4G07408	AT2G31440	AT4G17340	AT2G46240
AT2G05220	AT3G19180	AT4G08280	AT2G31810	AT4G17640	AT2G46370
AT2G05910	AT3G19330	AT4G09000	AT2G31930	AT4G17730	AT2G46400
