C0 (2554 genes)	C1 (1326 genes)	C2 (1037 genes)	C3 (1804 genes)	C4 (1000 genes)	C5 (1621 genes)
AT4G21900			AT5G63800		
AT4G22285			AT5G64040		
AT4G22350			AT5G64070		
AT4G22380			AT5G64180		
AT4G22467			AT5G64280		
AT4G22470			AT5G64360		
AT4G22720			AT5G64390		
AT4G23430			AT5G64500		
AT4G23540			AT5G64570		
AT4G23560			AT5G64690		
AT4G23620			AT5G64740		
AT4G23680			AT5G64840		
AT4G23690			AT5G64920		
AT4G23700			AT5G65060		
AT4G23882			AT5G65380		
AT4G23930			AT5G65390		
AT4G23950			AT5G65430		
AT4G24040			AT5G65480		
AT4G24190			AT5G65613		
AT4G24210			AT5G65683		
AT4G24240			AT5G65925		
AT4G24270			AT5G66030		
AT4G24470			AT5G66040		
AT4G24940			AT5G66050		
AT4G25315			AT5G66052		
AT4G25320			AT5G66055		
AT4G25340			AT5G66180		
AT4G25530			AT5G66260		
AT4G25550			AT5G66490		
AT4G25560			AT5G66580		
AT4G25630			AT5G66590		
AT4G25730			AT5G66800		
AT4G25900			AT5G66880		
AT4G25950			AT5G67020		
AT4G25980			AT5G67190		
AT4G26000			AT5G67260		
AT4G26110			AT5G67380		
AT4G26190			AT5G67385		
AT4G26200			AT5G67390		
AT4G26210			AT5G67560		
AT4G26230			ATCG00870		
AT4G26310					
AT4G26410					
AT4G26430					
AT4G26550					
AT4G26600					
AT4G26780					
AT4G26800					
AT4G26870					
AT4G26910					
AT4G26970					
AT4G27010					
AT4G27080					
AT4G27340					
AT4G27380					
AT4G27490					
AT4G27580					
AT4G27585					
AT4G27730					
AT4G28010					
AT4G28100					
AT4G28170					
AT4G28200					
AT4G28210					
AT4G28280					
AT4G28450					
AT4G28530					
AT4G28540					
AT4G28820					
AT4G28990					
AT4G29040					
AT4G29130					
AT4G29390					
AT4G29410					
AT4G29430					
AT4G29510					
AT4G29540					
AT4G29560					
AT4G29660					
AT4G30150					
AT4G30190					
AT4G30250					
AT4G30680					
AT4G30800					
AT4G30840					
AT4G30870					
AT4G30930					
AT4G30980					
AT4G30990					
AT4G31160					
AT4G31200					
AT4G31210					
AT4G31500					
AT4G31520					
AT4G31700					
AT4G31790					
AT4G31880					
AT4G31930					
AT4G31960					
AT4G31985					
AT4G32050					
AT4G32130					
AT4G32175					
AT4G32240					
AT4G32420					
AT4G32430					
AT4G32520					
AT4G32605					
AT4G32620					
AT4G32720					
AT4G32860					
AT4G32900					
AT4G32915					
AT4G33350					
AT4G33450					
AT4G33495					
AT4G33650					
AT4G33680					
AT4G33760					
AT4G33990					
AT4G34050					
AT4G34200					
AT4G34360					
AT4G34555					
AT4G34570					
AT4G34740					
AT4G34860					
AT4G34910					
AT4G34950					
AT4G35000					
AT4G35260					
AT4G35725					
AT4G35740					
AT4G35890					
AT4G35910					
AT4G35930					
AT4G36090					
AT4G36130					
AT4G36220					
AT4G36420					
AT4G36430					
AT4G36580					
AT4G36760					
AT4G36930					
AT4G37090					
AT4G37130					
AT4G37190					
AT4G37210					
AT4G37310					
AT4G37340					
AT4G37410					
AT4G37580					
AT4G37910					
AT4G38010					
AT4G38020					
AT4G38050					
AT4G38100					
AT4G38150					
AT4G38180					
AT4G38310					
AT4G38380					
AT4G38480					
AT4G38670					
AT4G38710					
AT4G38780					
AT4G38890					
AT4G38910					
AT4G39060					
AT4G39070					
AT4G39300					
AT4G39390					
AT4G39470					
AT4G39520					
AT4G39530					
AT4G39540					
AT4G39690					
AT4G39740					
AT4G39880					
AT4G39960					
AT4G40000					
AT5G01270					
AT5G01290					
AT5G01310					
AT5G01400					
AT5G01445					
AT5G01500					
AT5G01810					
AT5G02050					
AT5G02190					
AT5G02450					
AT5G02470					
AT5G02530					
AT5G02610					
AT5G02870					
AT5G03010					
AT5G03070					
AT5G03290					
AT5G03300					
AT5G03370					
AT5G03415					
AT5G03680					
AT5G03740					
AT5G03850					
AT5G04070					
AT5G04130					
AT5G04280					
AT5G04310					
AT5G04320					
AT5G04590					
AT5G04600					
AT5G04740					
AT5G04800					
AT5G04885					
AT5G04895					
AT5G05210					
AT5G05340					
AT5G05370					
AT5G05470					
AT5G05520					
AT5G05670					
AT5G05780					
AT5G05860					
AT5G05920					
AT5G05990					
AT5G06000					
AT5G06110					
AT5G06160					
AT5G06350					
AT5G06360					
